FB Mos 1 vs ITU_QoE,ITU_QoE_Class_1,FB MoS 2 vs IUT_QoE,IUT_QoE_Class_2,FB MoS 3 vs ITU_QoE,ITU_QoE_Class_3,FB MoS 4 vs ITU_QoE,ITU_QoE_Class_4,FB MoS 5 vs ITU_QoE,ITU_QoE_Class_5
2.302067702,2.302067702,,,3.557511335,3.557511335,2.013474913,2.013474913,2.519108638,2.519108638
2.302132105,2.302132105,,,3.796740807,3.796740807,2.013474913,2.013474913,2.519108638,2.519108638
2.302132105,2.302132105,,,3.825300055,3.825300055,2.017089174,2.017089174,2.519108638,2.519108638
2.302132105,2.302132105,,,3.825300055,3.825300055,2.022478227,2.022478227,2.519108638,2.519108638
2.302132105,2.302132105,,,3.8384925,3.8384925,2.022478227,2.022478227,2.519108638,2.519108638
2.302132105,2.302132105,,,3.93485184,3.93485184,2.023344829,2.023344829,2.519108638,2.519108638
2.302132105,2.302132105,,,3.942627292,3.942627292,2.024479738,2.024479738,2.533011769,2.533011769
2.302132105,2.302132105,,,3.965842932,3.965842932,2.024479738,2.024479738,2.533011769,2.533011769
2.426245106,2.426245106,,,4.278084574,4.278084574,2.024479738,2.024479738,2.533011769,2.533011769
2.464650275,2.464650275,,,4.282068592,4.282068592,2.024479738,2.024479738,2.533011769,2.533011769
2.49292374,2.49292374,,,,,2.024479738,2.024479738,2.533011769,2.533011769
